Rk,Player,Pos,Tm,Salary,2019 PFF,2018 PFF,2017 PFF,2016 PFF
,Mike Evans,WR,TAM,17000000.00,85.7,84.3,79.3,91.7
10,Odell Beckham Jr.,WR,CLE,16750000.00,68.7,90,69.1,87
17,Antonio Brown,WR,NWE,14625000.00,90,79.3,91.2,88.8
21,Amari Cooper,WR,DAL,13924000.00,84.1,77.9,63.6,79
,T.Y. Hilton,WR,IND,13000000.00,75.1,86.6,68.9,86.7
34,DeAndre Hopkins,WR,HOU,12500000.00,87.3,92.4,90.2,77.5
,Jarvis Landry,WR,CLE,12500000.00,78.2,74.7,79.5,83.6
38,Sammy Watkins,WR,KAN,11950000.00,66.5,73.5,71.5,73.7
39,Alshon Jeffery,WR,PHI,11750000.00,74.8,78.3,74.3,74.5
,Larry Fitzgerald,WR,ARI,11000000.00,70.3,73.2,80,83.3
,Emmanuel Sanders,WR,2TM,10250000.00,78.4,81.1,68.1,81.5
,Keenan Allen,WR,LAC,10000000.00,80.3,90.3,89.3,88.3
62,Allen Robinson,WR,CHI,9900000.00,,,,
67,Julio Jones,WR,ATL,9600000.00,90.6,90.9,91.7,91.9
73,Nelson Agholor,WR,PHI,9387000.00,54.4,64.8,73.1,52.6
85,Stefon Diggs,WR,MIN,8900000.00,78.8,81.1,81.7,79.1
109,Kenny Stills,WR,HOU,7975000.00,72.2,64.7,59.9,67.7
,Marqise Lee,WR,JAX,7250000.00,67.7,,77.4,71.9
131,Albert Wilson,WR,MIA,6975000.00,62.3,82.5,75.5,54.1
,Marvin Jones,WR,DET,6500000.00,,,,
,Robert Woods,WR,LAR,6000000.00,82.2,87.9,79.1,71.4
,Mohamed Sanu,WR,2TM,6000000.00,58.8,71.6,76.8,74.6
161,Adam Thielen,WR,MIN,5850000.00,76,89.4,82.5,79.9
,Taylor Gabriel,WR,CHI,5500000.00,62,68.9,64.7,85.8
,Travis Benjamin,WR,LAC,5250000.00,46.4,61.4,66.7,67.2
,Paul Richardson,WR,WAS,5000000.00,,,,
,Tyrell Williams,WR,OAK,5000000.00,66.5,66.8,62,75.6
,Danny Amendola,WR,DET,4250000.00,71.5,66.6,72.1,65.3
,Allen Hurns,WR,MIA,4000000.00,57,64.6,73.8,57.1
223,Tyler Lockett,WR,SEA,3907000.00,77.2,80.3,67.3,68.9
225,John Brown,WR,BUF,3800000.00,75.8,65.9,58,71.4
,DeVante Parker,WR,MIA,3500000.00,79.2,69.2,69.5,76.1
,Chester Rogers,WR,IND,3095000.00,50.5,63.3,58.1,59.3
,Robby Anderson,WR,NYJ,3095000.00,68.6,68.3,71.4,58
,Devin Funchess,WR,IND,3000000.00,68.9,68.4,71.7,64.4
,Cordarrelle Patterson,WR,CHI,3000000.00,54.7,72.6,65.5,64.5
,Willie Snead,WR,BAL,3000000.00,,,,
,Marquise Goodwin,WR,SFO,2950000.00,59.6,62.7,77,62.1
297,Jaron Brown,WR,SEA,2750000.00,57.2,66,59.4,66.1
,Davante Adams,WR,GNB,2750000.00,83.5,87.8,80.5,70.2
,Ted Ginn Jr.,WR,NOR,2500000.00,56.8,67.2,68.5,69.2
340,Mike Williams,WR,LAC,2260448.00,74.1,81.8,52.6,
,Cole Beasley,WR,BUF,2200000.00,73.6,74.8,59.9,87.2
,Josh Gordon,WR,2TM,2025000.00,63.7,73.5,76.3,
,Rashard Higgins,WR,CLE,2025000.00,53.6,68.1,50.4,61.5
,Tajae Sharpe,WR,TEN,2025000.00,74.2,61.7,,60.8
407,John Ross,WR,CIN,2020988.00,63.1,49.4,38.1,
,Demarcus Robinson,WR,KAN,2015500.00,57.8,58.6,51.9,
,Randall Cobb,WR,DAL,2000000.00,69.9,60.2,64.4,69.9
,Adam Humphries,WR,TEN,2000000.00,69.6,75.2,63,66
,Breshad Perriman,WR,TAM,2000000.00,72.8,71.8,44.4,64.2
,Andre Roberts,WR,BUF,2000000.00,53.1,58.1,62.6,60.5
447,Golden Tate,WR,NYG,1975000.00,73.9,70.1,83.1,71.6
448,Tyreek Hill,WR,KAN,1965036.00,85.4,89.6,81.4,80.4
462,Will Fuller,WR,HOU,1836043.00,,,,
463,Josh Doctson,WR,MIN,1820405.00,,63.3,62.5,57.7
465,Laquon Treadwell,WR,MIN,1804770.00,71.3,51.3,53.9,56.4
482,Seth Roberts,WR,BAL,1700000.00,63.5,62.1,54,58.6
488,Matthew Slater,WR,NWE,1600000.00,,,,59.8
,Derek Carrier,WR,OAK,1600000.00,65.4,59.1,62.1,53.2
,Jarius Wright,WR,CAR,1500000.00,47.8,63.7,71.2,61.1
,Jamison Crowder,WR,NYJ,1500000.00,72.4,60.9,72.7,66.9
,Phillip Dorsett,WR,NWE,1500000.00,66.9,67,56.3,56.5
,Donte Moncrief,WR,2TM,1500000.00,45.6,62.3,61.1,73.4
,Geronimo Allison,WR,GNB,1450000.00,54.1,61.4,50.9,69
,Alex Erickson,WR,CIN,1400000.00,67.1,59.1,66.6,61
572,Sterling Shepard,WR,NYG,1260623.00,75.8,67.3,70.7,66.4
,Demaryius Thomas,WR,NYJ,1200000.00,65.9,71.5,74.1,80.4
606,Michael Thomas,WR,NOR,1148041.00,90.4,91.3,90.6,86.4
627,Zay Jones,WR,2TM,1081348.00,53.7,62.2,55.2,
633,Curtis Samuel,WR,CAR,1051698.00,62.7,71.5,56.9,
,DeSean Jackson,WR,PHI,1030000.00,81.7,79.4,76.8,73
,Julian Edelman,WR,NWE,1000000.00,72,75.2,,76.9
,Tavon Austin,WR,DAL,1000000.00,61.3,72.7,63.1,61.3
,Quincy Enunwa,WR,NYJ,1000000.00,55.7,68,,70
,Brandin Cooks,WR,LAR,1000000.00,68.1,79.7,70.9,73
,Jordan Matthews,WR,2TM,1000000.00,52.8,65.4,52.7,67.7
743,D.J. Moore,WR,CAR,987787.00,82.3,72,,
746,Tyler Boyd,WR,CIN,980769.00,73,84.5,62,65.1
747,Calvin Ridley,WR,ATL,975487.00,74.9,68.8,,
748,Russell Shepard,WR,NYG,975000.00,50.3,61.4,47.2,78.5
,Dwayne Harris,WR,OAK,930000.00,58.3,61.6,,81.6
,Josh Bellamy,WR,NYJ,930000.00,47.1,57.9,63.8,70.8
794,Cody Latimer,WR,NYG,925000.00,68.4,70.2,70,60.5
830,JuJu Smith-Schuster,WR,PIT,846434.00,63.1,81.8,76.5,
834,Chris Hogan,WR,CAR,825000.00,54.9,57.1,61,61.7
847,Cooper Kupp,WR,LAR,811000.00,74.6,77.4,78.3,
,Ryan Grant,WR,OAK,805000.00,47.6,59.1,69.1,54.3
,T.J. Jones,WR,NYG,805000.00,57.4,50.4,74.7,59.9
,Bennie Fowler,WR,NYG,805000.00,60.6,58.2,56,53.2
,Justin Hardy,WR,ATL,805000.00,67.3,60.5,61.8,75.5
,JJ Nelson,WR,OAK,805000.00,,,,
,Dontrelle Inman,WR,2TM,805000.00,63.5,67.8,66.1,72.3
,Geremy Davis,WR,LAC,805000.00,58.2,,,55.5
,Chris Conley,WR,JAX,805000.00,62.7,55.8,63.1,61.9
954,Courtland Sutton,WR,DEN,790996.00,83.1,63.8,,
960,Taywan Taylor,WR,CLE,773500.00,52.5,70,58.3,
961,Dante Pettis,WR,SFO,770934.00,56.4,68.5,,
968,Christian Kirk,WR,ARI,747948.00,62.5,70.3,,
976,Anthony Miller,WR,CHI,723350.00,66,60.4,,
,C.J. Goodwin,WR,DAL,720000.00,,,,
,Chris Moore,WR,BAL,720000.00,53.4,60,59,50.3
,Jakeem Grant,WR,MIA,720000.00,62.1,70.5,70.7,40.2
,Trevor Davis,WR,3TM,720000.00,49.3,,59,55.5
,Damiere Byrd,WR,ARI,720000.00,64.4,59.7,59.8,71.9
,Darius Jennings,WR,TEN,720000.00,67.4,55.5,,
,Cody Core,WR,NYG,720000.00,57.2,53.9,49,60.7
,Darren Waller,WR,OAK,720000.00,83.2,70.4,,52.8
,Mike Thomas,WR,LAR,720000.00,58.4,,59.9,51.6
,Pharoh Cooper,WR,2TM,720000.00,70.3,57.1,63,52.8
1066,Hunter Renfrow,WR,OAK,707500.00,75.5,,,
1081,James Washington,WR,PIT,684607.00,69.3,49.2,,
1083,DJ Chark,WR,JAX,682147.00,,,,
1092,Chris Godwin,WR,TAM,677000.00,90.7,80.4,81.9,
1094,Kenny Golladay,WR,DET,676000.00,79.9,81,68,
1098,Chad Williams,WR,IND,671500.00,54.4,53.7,60.9,
1120,Olabisi Johnson,WR,MIN,647500.00,66.2,,,
,Josh Malone,WR,NYJ,645000.00,,51,50.7,
,Mack Hollins,WR,2TM,645000.00,49.5,,63.1,
,Corey Davis,WR,TEN,645000.00,69.9,76.4,60.1,
,Marvin Hall,WR,DET,645000.00,85.4,55.9,61.3,
,Justin Hardee,WR,NOR,645000.00,42,77.6,,
,Kendrick Bourne,WR,SFO,645000.00,66.7,66.6,62.7,
,Josh Reynolds,WR,LAR,645000.00,65.9,68.9,58.4,
,Keelan Cole,WR,JAX,645000.00,66.5,59.4,72.4,
,J.D. McKissic,WR,DET,645000.00,72.4,57.2,67.7,57.9
,Dede Westbrook,WR,JAX,645000.00,63.5,71.3,60.7,
,Jaydon Mickens,WR,TAM,645000.00,,,56.7,
,Ryan Switzer,WR,PIT,645000.00,51.8,63,61.5,
,Cody Hollister,WR,TEN,645000.00,60.9,,,
,Jojo Natson,WR,LAR,645000.00,,,52.2,
,Ricky Seals-Jones,WR,CLE,645000.00,56.9,52.8,80.7,
,David Moore,WR,SEA,645000.00,67,65.4,,
,Johnny Holton,WR,PIT,645000.00,47.4,54.4,48.6,53.1
,Bobo Wilson,WR,TAM,645000.00,57.7,59.5,63.9,
,Isaiah McKenzie,WR,BUF,645000.00,68.8,67,46.2,
,DeAndrew White,WR,CAR,645000.00,61.3,,46,
,Devin Smith,WR,DAL,645000.00,63.7,,,46.2
,Austin Carr,WR,NOR,645000.00,50.5,55,,
,Kalif Raymond,WR,TEN,645000.00,75.5,,54.7,54.4
1307,Michael Gallup,WR,DAL,629000.00,74,60.3,,
1317,Tre'Quan Smith,WR,NOR,616500.00,64.4,68.7,,
,Brandon Zylstra,WR,CAR,570000.00,66.4,71,,
,Russell Gage,WR,ATL,570000.00,66.3,58.3,,
,Deontay Burnett,WR,PHI,570000.00,73.5,74,,
,Damion Ratley,WR,CLE,570000.00,62.9,55.9,,
,Dan Arnold,WR,2TM,570000.00,71.7,74.5,,
,Vyncint Smith,WR,NYJ,570000.00,62.3,58.2,,
,Keith Kirkwood,WR,NOR,570000.00,,66.1,,
,Marcus Johnson,WR,IND,570000.00,59.8,61.1,65.7,
,Chad Beebe,WR,MIN,570000.00,66.3,64.2,,
,KhaDarel Hodge,WR,CLE,570000.00,54.3,58.2,,
,Zach Pascal,WR,IND,570000.00,73.7,60.9,,
,Marquez Valdes-Scantling,WR,GNB,570000.00,57,60.4,,
,Trey Quinn,WR,WAS,570000.00,54.1,57.3,,
,Richie James,WR,SFO,570000.00,,,,
,Gehrig Dieter,WR,KAN,570000.00,,61.6,,
,Da'Mari Scott,WR,NYG,570000.00,56.5,,,
,Isaiah Ford,WR,MIA,570000.00,68.9,54.8,,
,Malik Turner,WR,SEA,570000.00,68,67.5,,
,Ray-Ray McCloud,WR,CAR,570000.00,,,,
,Robert Foster,WR,BUF,570000.00,52.7,72.1,,
,Deante Burton,WR,DAL,570000.00,,,,
,Jake Kumerow,WR,GNB,570000.00,63.4,58.9,,
,Trent Sherfield,WR,ARI,570000.00,52.2,58.1,,
,Auden Tate,WR,CIN,570000.00,70.5,53.5,,
,Antonio Callaway,WR,CLE,570000.00,54.8,63.6,,
,Javon Wims,WR,CHI,570000.00,52,74.2,,
,River Cracraft,WR,DEN,570000.00,,68.2,,
,DeAndre Carter,WR,HOU,570000.00,60,64,,
,Robert Davis,WR,2TM,570000.00,57.3,,,
,Tim Patrick,WR,DEN,570000.00,66.7,60.2,,
,DaeSean Hamilton,WR,DEN,570000.00,56.4,60.1,,
,Marcell Ateman,WR,OAK,570000.00,58.3,53.5,,
,Justin Watson,WR,TAM,570000.00,63.9,54.4,,
,Keke Coutee,WR,HOU,570000.00,53.1,64.7,,
,Steven Mitchell,WR,HOU,495000.00,,,,
,Damion Willis,WR,CIN,495000.00,52.2,,,
,Christian Blake,WR,ATL,495000.00,51.3,,,
,JJ Arcega-Whiteside,WR,PHI,495000.00,,,,
,Mecole Hardman,WR,KAN,495000.00,69.1,,,
