player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Ray Lewis,167,LB,6,BLT,442,48,207,187,60.2,69.8,89.9,60.3,49.7,4,1,2,1,0,38,9,1,20,1,21,15,195,13.0,100,28,0,0,1,100.3,0,0
Ronde Barber,261,S,16,TB,1069,75,366,628,79.4,76.0,65.7,60.0,81.9,11,1,1,9,1,81,14,15,44,1,58,41,428,10.4,274,80,1,4,4,68.8,5,0
Charles Woodson,330,CB,7,GB,467,32,175,260,65.7,80.8,80.7,52.3,60.4,4,2,0,2,0,33,7,3,14,1,28,18,221,12.3,78,30,0,1,2,73.7,4,1
Keith Brooking,336,LB,16,DEN,453,34,231,188,61.0,53.5,90.3,59.1,68.0,3,1,0,2,0,35,11,0,19,0,19,13,110,8.5,64,27,0,0,0,83.2,0,0
Takeo Spikes,337,LB,16,SD,699,53,312,334,66.7,70.6,87.6,65.7,61.6,7,1,4,2,0,48,23,2,25,1,27,21,254,12.1,175,45,2,0,1,130.6,1,0
Vonnie Holliday,340,DI,16,ARZ,195,103,92,0,47.2,41.7,75.5,58.2,,7,0,2,5,1,10,4,0,9,0,0,0,0,,0,,0,0,0,0.0,0,0
London Fletcher,424,LB,16,WAS,1007,94,337,576,53.2,51.2,46.1,56.3,58.5,10,3,0,7,0,96,19,21,34,1,95,67,699,10.4,335,56,5,5,2,87.1,5,1
Champ Bailey,442,CB,16,DEN,1012,1,386,625,77.5,81.5,85.0,54.3,74.8,0,0,0,0,0,60,8,3,21,0,74,40,479,12.0,104,38,1,2,3,67.3,6,0
Antoine Winfield,456,CB,16,MIN,1027,19,363,645,86.0,92.3,81.2,64.0,78.4,5,2,0,3,0,87,9,8,44,0,90,60,575,9.6,222,41,0,3,6,70.4,2,0
Mike Peterson,463,LB,7,ATL,116,7,77,32,61.2,67.9,29.7,61.6,48.1,1,0,0,1,0,10,4,4,6,0,3,3,43,14.3,23,25,1,0,0,158.3,0,0
Brendon Ayanbadejo,542,LB,7,BLT,170,27,61,82,76.5,59.3,78.1,64.6,82.7,5,1,1,3,0,21,5,2,12,0,11,8,38,4.8,31,13,0,0,1,77.1,0,0
Brian Urlacher,587,LB,12,CHI,716,57,257,402,60.5,34.9,70.1,50.1,84.1,4,0,0,4,2,61,9,10,34,2,49,34,273,8.0,143,22,0,1,5,74.6,2,0
John Abraham,591,ED,16,ATL,731,434,261,36,82.5,63.3,55.3,89.5,67.8,56,10,8,38,7,22,5,4,27,6,4,4,47,11.8,30,25,0,0,0,115.6,6,1
Clark Haggans,670,ED,8,SF,44,27,14,3,63.5,63.1,71.5,53.5,71.7,0,0,0,0,0,2,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0
Paris Lenon,751,LB,16,ARZ,1014,181,461,372,50.9,49.2,60.6,58.4,53.2,20,2,4,14,1,91,12,13,46,1,31,24,325,13.5,198,72,3,1,2,129.1,0,0
Justin Smith,776,DI,14,SF,820,518,294,8,68.4,75.7,76.8,55.9,65.7,31,4,6,21,2,49,14,2,37,1,1,0,0,,0,,0,0,1,39.6,1,0
Richard Seymour,778,DI,8,OAK,348,213,130,5,71.9,77.5,42.3,65.5,57.3,12,3,2,7,1,12,1,2,12,0,1,1,6,6.0,0,6,0,0,0,91.7,3,0
Andre Carter,779,ED,12,OAK,316,180,126,10,68.0,64.5,77.2,64.0,61.4,16,3,5,8,0,12,5,0,13,1,1,1,22,22.0,19,22,0,0,0,118.8,0,0
Casey Hampton,789,DI,16,PIT,494,233,260,1,55.0,61.7,78.1,51.1,59.8,3,0,1,2,0,12,6,0,11,0,0,0,0,,0,,0,0,0,0.0,3,0
Nate Clements,791,S,14,CIN,583,17,228,338,61.0,48.7,60.2,53.9,64.1,2,0,1,1,0,39,7,7,6,0,29,18,177,9.8,63,28,0,1,6,64.9,2,0
Ryan Pickett,799,DI,16,GB,570,244,324,2,66.3,70.9,80.4,53.0,61.9,6,0,1,5,1,35,9,0,24,0,0,0,0,,0,,0,0,0,0.0,1,0
Kyle Vanden Bosch,804,ED,16,DET,641,383,256,2,41.8,37.0,49.5,56.9,64.7,29,4,13,12,1,22,3,6,17,0,0,0,0,,0,,0,0,0,0.0,5,1
Adrian Wilson,831,S,15,ARZ,846,42,432,372,60.6,50.2,76.8,79.3,63.7,9,3,1,5,0,42,5,5,14,0,27,12,197,16.4,102,80,2,1,2,78.8,3,0
Ron Edwards,838,DI,11,CAR,315,152,163,0,52.4,48.9,41.9,57.9,60.0,5,1,1,3,0,10,1,1,7,0,0,0,0,,0,,0,0,0,0.0,0,0
Juqua Parker,995,ED,16,CLV,528,394,124,10,72.0,65.0,43.4,72.2,60.5,44,6,8,30,0,15,0,4,17,2,3,1,6,6.0,10,6,0,0,0,42.4,4,1
Julius Peppers,1010,ED,16,CHI,783,507,265,11,74.5,61.3,79.9,76.3,66.4,57,13,7,37,2,24,2,1,30,1,2,2,-4,-2.0,5,-1,0,0,0,79.2,4,0
Quentin Jammer,1013,CB,16,SD,989,1,364,624,54.0,72.0,72.3,57.3,50.1,0,0,0,0,0,58,5,5,18,1,104,59,783,13.3,212,55,8,3,6,94.4,9,0
Dwight Freeney,1019,ED,14,IND,699,443,231,25,70.5,54.2,77.0,74.1,67.7,47,5,9,33,1,8,3,0,12,1,1,0,0,,0,,0,0,0,39.6,2,0
Bryan Thomas,1029,ED,12,NYJ,372,116,216,40,70.1,73.0,72.5,62.4,51.7,10,2,2,6,1,18,2,1,13,0,6,3,22,7.3,22,14,0,0,0,59.0,0,0
Edward Reed,1031,S,16,BLT,1047,14,453,580,73.2,64.1,53.9,43.5,83.5,1,0,0,1,0,61,10,15,12,0,32,19,329,17.3,101,55,3,4,7,86.1,5,0
Sheldon Brown,1066,CB,15,CLV,879,4,338,537,79.5,81.4,79.1,98.8,72.3,1,1,0,0,0,60,2,5,15,1,90,52,655,12.6,166,54,4,3,10,81.5,8,0
Will Witherspoon,1079,LB,11,TEN,388,27,159,202,62.1,43.6,63.1,90.9,68.7,4,1,1,2,0,31,8,6,12,1,25,20,195,9.8,120,23,0,1,1,82.5,1,0
Chris Hope,1097,S,7,ATL,258,10,98,150,46.8,61.2,45.3,43.4,49.3,0,0,0,0,0,15,3,5,3,0,6,5,52,10.4,30,18,0,0,0,102.8,1,0
Larry Foote,1126,LB,16,PIT,967,189,381,397,59.7,52.2,72.5,59.0,65.8,17,4,5,8,0,83,14,10,47,2,46,34,320,9.4,174,33,4,0,3,121.6,1,0
Justin Bannan,1134,DI,16,DEN,524,251,270,3,71.4,75.3,77.8,54.1,67.3,4,0,0,4,4,32,4,2,24,1,0,0,0,,0,,0,0,0,0.0,2,0
Scott Fujita,1137,LB,4,CLV,122,18,70,34,70.8,71.8,84.3,63.7,61.3,3,1,0,2,0,13,1,0,8,0,5,4,42,10.5,29,17,0,0,0,101.7,0,0
Rocky Bernard,1139,DI,12,NYG,386,169,217,0,65.2,60.3,77.0,63.3,63.1,8,1,1,6,0,19,8,0,15,0,0,0,0,,0,,0,0,0,0.0,0,0
Kenyon Coleman,1140,DI,7,DAL,164,72,89,3,70.6,76.2,61.7,57.4,60.5,5,0,1,4,0,11,3,1,7,1,0,0,0,,0,,0,0,0,0.0,1,0
Brett Keisel,1204,DI,16,PIT,860,521,336,3,55.4,59.2,74.8,52.8,80.8,33,5,6,22,3,23,10,1,22,0,0,0,0,,0,,0,0,0,0.0,3,0
Ryan Clark,1229,S,15,PIT,882,17,344,521,83.0,90.0,77.3,45.2,79.5,0,0,0,0,0,85,17,12,32,2,29,19,143,7.5,73,18,0,2,3,48.5,2,0
James Harrison,1251,ED,13,PIT,811,310,312,189,68.7,76.0,67.3,66.6,54.1,28,6,5,17,0,44,15,6,40,2,16,11,112,10.2,72,29,0,0,0,88.5,3,0
Ma'ake Kemoeatu,1267,DI,15,BLT,433,186,247,0,54.3,52.3,78.2,54.5,66.6,3,1,1,1,2,17,6,0,12,0,0,0,0,,0,,0,0,0,0.0,0,0
Bart Scott,1303,LB,15,NYJ,572,70,337,165,61.6,61.5,58.4,75.5,50.7,13,4,3,6,0,45,11,11,36,0,16,13,188,14.5,147,83,1,1,0,110.4,2,0
Terence Newman,1321,CB,15,CIN,864,1,325,538,74.4,79.5,85.9,53.4,72.6,0,0,0,0,0,69,6,3,23,1,92,52,604,11.6,232,30,3,2,8,78.4,4,1
Kevin Williams,1325,DI,16,MIN,808,536,271,1,70.4,66.0,37.5,68.3,64.6,32,2,9,21,7,24,5,12,15,0,1,0,0,,0,,0,0,0,39.6,3,0
