player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Tony Gonzalez,237,TE,16,ATL,359,0,65,294,0,0,0,0,0,75.5,62.6,61.4,3,1,0,4,5,0
David Akers,295,K,2,DET,2,0,0,2,0,0,0,0,0,60.0,,59.8,0,0,0,0,0,0
Peyton Manning,327,QB,16,DEN,1124,719,0,405,0,0,0,0,0,92.5,,60.0,1,0,0,1,3,0
Matt Hasselbeck,408,QB,3,IND,21,12,0,9,0,0,0,0,0,40.3,,60.0,0,0,0,0,1,0
Brandon Stokley,498,WR,6,BLT,9,0,0,9,0,0,0,0,0,69.0,,79.0,0,0,0,0,0,0
Brian Waters,575,G,7,DAL,330,0,218,112,0,0,0,336,0,76.2,86.7,65.4,0,2,6,8,1,0
Brad Meester,627,C,16,JAX,1057,0,688,369,0,0,1081,0,0,66.7,79.2,60.2,5,1,13,19,5,1
Shane Lechler,673,P,1,HST,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Tom Brady,698,QB,16,NE,1168,714,0,454,0,0,0,0,0,78.8,,60.0,3,0,0,3,2,0
Michael Vick,773,QB,7,PHI,303,178,0,125,0,0,0,0,0,61.2,,60.0,1,2,0,3,2,0
Santana Moss,786,WR,16,WAS,80,0,0,80,0,0,0,0,0,58.1,,84.7,0,0,0,0,2,0
Reggie Wayne,800,WR,7,IND,154,0,1,153,0,0,0,0,0,80.9,70.2,79.2,0,0,0,0,1,0
Drew Brees,802,QB,16,NO,1086,739,0,347,0,0,0,0,0,85.5,,60.0,2,1,2,5,10,0
Dominic Raiola,820,C,16,DET,1135,0,694,441,0,0,1156,0,0,87.9,86.7,84.0,0,4,8,12,1,0
Steve Smith,837,WR,15,CAR,292,0,0,292,0,0,0,0,0,80.8,,77.1,0,0,0,0,2,0
Roberto Garza,856,C,16,CHI,1059,0,664,395,0,0,1070,0,0,76.3,86.1,69.6,1,0,12,13,5,0
Bryant McKinnie,1015,T,15,MIA,1021,0,657,364,1044,0,0,0,0,63.9,67.4,53.9,8,13,38,59,3,1
Andre Gurode,1044,C,8,OAK,275,0,154,121,0,148,76,60,0,53.1,71.4,58.3,1,1,4,6,5,0
Will Witherspoon,1079,LB,1,SL,1,0,1,0,0,0,0,0,0,60.0,,,0,0,0,0,0,0
Josh McCown,1085,QB,8,CHI,418,258,0,160,0,0,0,0,0,86.4,,60.0,3,0,2,5,1,0
Jonathan Goodwin,1146,C,16,SF,971,0,528,443,0,0,1001,0,0,71.3,78.4,69.0,4,1,14,19,3,0
Carson Palmer,1317,QB,16,ARZ,1059,655,2,402,0,0,0,0,0,67.9,78.0,60.0,2,0,0,2,4,0
Andre Johnson,1319,WR,16,HST,358,0,0,358,0,0,0,0,0,89.4,,68.9,0,0,0,0,0,0
Jordan Gross,1324,T,16,CAR,1002,0,578,424,985,0,0,0,0,87.8,91.0,72.7,6,1,22,29,1,1
Troy Polamalu,1332,S,3,PIT,7,0,0,7,0,0,0,0,0,60.0,,60.4,0,0,0,0,5,0
Willis McGahee,1339,HB,12,CLV,50,0,39,11,0,0,0,0,0,66.0,72.3,58.3,2,0,3,5,0,0
Dallas Clark,1340,TE,12,BLT,88,0,15,73,0,0,0,0,0,61.1,69.6,49.4,0,0,1,1,1,0
Anquan Boldin,1369,WR,16,SF,316,0,0,316,0,0,0,0,0,90.4,,83.4,0,0,0,0,6,0
Jason Witten,1384,TE,16,DAL,414,0,90,324,0,0,0,0,0,78.2,77.1,78.8,0,1,2,3,4,1
Nate Burleson,1386,WR,9,DET,195,0,1,194,0,0,0,0,0,65.0,65.6,64.3,0,0,0,0,2,0
Wade Smith,1393,G,16,HST,972,0,607,365,0,990,0,0,0,72.6,72.6,67.7,4,8,29,41,0,0
Visanthe Shiancoe,1406,TE,1,TEN,7,0,0,7,0,0,0,0,0,57.7,,47.7,0,0,0,0,0,0
Seneca Wallace,1422,QB,2,GB,58,28,0,30,0,0,0,0,0,57.2,,60.0,1,0,1,2,0,0
Mike Scifres,1458,P,2,SD,2,0,0,2,0,0,0,0,0,59.7,,58.9,0,0,0,0,0,0
David Diehl,1468,G,11,NYG,706,0,413,293,0,0,0,718,0,59.1,45.5,61.8,2,7,33,42,0,0
Tony Pashos,1478,T,12,OAK,712,0,435,277,0,0,0,0,735,65.1,73.4,55.4,6,1,19,26,3,2
Jon Dorenbos,1600,LS,1,PHI,1,0,0,1,0,0,0,0,0,60.0,,59.7,0,0,0,0,0,0
Antonio Gates,1609,TE,16,SD,381,0,31,350,1,0,0,0,0,71.5,69.0,65.5,1,0,0,1,3,0
Mat McBriar,1659,P,1,PIT,1,1,0,0,0,0,0,0,0,73.0,,,0,0,0,0,0,0
Kassim Osgood,1676,WR,11,SF,33,0,1,32,0,0,0,0,0,72.0,60.5,78.6,0,0,0,0,0,0
