"","player","player_id","position","player_game_count","team_name","targets","receptions","caught_percent","yards","touchdowns","grades_offense","grades_pass_route","grades_hands_drop","grades_hands_fumble","grades_pass_block","yards_per_reception","yards_after_catch","yards_after_catch_per_reception","longest","first_downs","drops","interceptions","fumbles","avoided_tackles","targeted_qb_rating","penalties","declined_penalties","season","ï..season","Team","Cap.Number","Cash.Spent","snap_counts_offense","Year","experience"
"1","Adrian Arrington",4551,"WR",4,"NO",3,2,66.7,31,0,63.9,63.5,68.3,64,NA,15.5,0,0,17,2,0,0,0,0,100.7,0,0,"2011",NA,NA,NA,NA,28,2008,"4"
"2","Adrian Arrington",4551,"TE",1,"NO",9,7,77.8,79,0,73.3,72.3,75.6,69.5,NA,11.3,29,4.1,17,3,0,0,0,0,103.2,0,0,"2010",NA,NA,NA,NA,12,2008,"3"
"3","Andre Caldwell",4411,"WR",4,"DEN",4,1,25,18,0,56.9,54.3,28.9,64.6,NA,18,2,2,18,1,1,0,0,0,45.8,0,0,"2012",2012,"Broncos",8e+05,9e+05,40,2008,"5"
"4","Andre Caldwell",4411,"WR",14,"DEN",29,16,55.2,200,3,69.8,67.8,53.1,81.9,NA,12.5,41,2.6,36,11,2,0,0,0,111.3,1,0,"2013",2013,"Broncos",1e+06,9e+05,105,2008,"6"
"5","Andre Caldwell",4411,"WR",15,"CIN",36,25,69.4,345,0,66,64.3,52.7,75.8,NA,13.8,119,4.8,53,16,3,1,0,1,88.3,3,2,"2010",NA,NA,NA,NA,165,2008,"3"
"6","Andre Caldwell",4411,"WR",12,"DEN",15,5,33.3,47,0,49,47.5,27.5,83.4,NA,9.4,17,3.4,15,4,3,0,0,0,42.9,1,0,"2014",2014,"Broncos",1150000,1350000,75,2008,"7"
"7","Andre Caldwell",4411,"WR",14,"DEN",22,10,45.5,72,2,51.3,50.3,43.8,76.5,NA,7.2,17,1.7,24,4,2,2,0,0,46,1,0,"2015",2015,"Broncos",1550000,1350000,104,2008,"8"
"8","Andre Caldwell",4411,"WR",13,"CIN",63,37,58.7,317,3,54.2,54,48.3,77.7,68.1,8.6,111,3,49,15,4,7,0,1,48.3,2,0,"2011",NA,NA,NA,NA,133,2008,"4"
"9","Andre Johnson",1319,"WR",7,"HST",49,33,67.3,492,2,82.1,81.6,53.7,77.5,NA,14.9,135,4.1,50,23,4,2,0,1,96.6,1,0,"2011",2011,"Texans",5411335,8800000,156,2003,"9"
"10","Andre Johnson",1319,"WR",13,"HST",131,86,65.6,1216,8,84.9,84.1,76.4,63.6,NA,14.1,338,3.9,60,59,6,5,1,1,99.9,4,1,"2010",2010,"Texans",9793835,1e+07,291,2003,"8"
"11","Andre Johnson",1319,"WR",16,"IND",76,41,53.9,503,4,66.2,64.2,45.3,78.4,NA,12.3,165,4,35,31,6,3,0,2,75.7,1,0,"2015",2015,"Colts",7500000,7500000,217,2003,"13"
"12","Andre Johnson",1319,"WR",16,"HST",159,112,70.4,1598,4,91.9,91.9,71.3,84.2,NA,14.3,559,5,60,79,9,5,0,11,97.9,2,1,"2012",2012,"Texans",6411335,6500000,421,2003,"10"
"13","Andre Johnson",1319,"WR",15,"HST",141,85,60.3,936,3,75.3,74.2,55.5,24.8,NA,11,383,4.5,35,49,9,3,3,6,78.2,1,0,"2014",2014,"Texans",15644583,1.1e+07,410,2003,"12"
"14","Andre Johnson",1319,"WR",16,"HST",176,109,61.9,1407,5,89.4,88.7,64.8,84,NA,12.9,414,3.8,62,69,10,8,0,8,77.5,0,0,"2013",2013,"Texans",10727918,10500000,358,2003,"11"
"15","Andre Johnson",1319,"WR",8,"TEN",21,9,42.9,85,2,55,52.8,60.2,71.5,NA,9.4,15,1.7,20,4,1,0,0,0,86.4,1,0,"2016",NA,NA,NA,NA,103,2003,"14"
"16","Andre Roberts",5612,"WR",9,"WAS",22,11,50,135,0,51.3,50.7,43.5,76.2,67.1,12.3,41,3.7,38,5,2,0,0,1,69.3,0,0,"2015",2015,"Redskins",3750000,2750000,91,2010,"6"
"17","Andre Roberts",5612,"WR",16,"DET",25,14,56,188,1,60.5,61.9,64.4,58.6,NA,13.4,60,4.3,44,9,1,0,0,0,93.4,0,0,"2016",2016,"Lions",680000,840000,76,2010,"7"
"18","Andre Roberts",5612,"WR",15,"ARZ",107,64,59.8,759,5,61.6,61.2,37.9,48.5,67.6,11.9,235,3.7,46,40,10,2,1,4,89.3,3,0,"2012",2012,"Cardinals",721050,540000,210,2010,"3"
"19","Andre Roberts",5612,"WR",12,"BUF",7,3,42.9,20,0,53.1,51,36.2,89.8,NA,6.7,7,2.3,7,1,1,0,0,0,50.3,1,0,"2019",2019,"Bills",2600000,3100000,58,2010,"10"
"20","Andre Roberts",5612,"WR",8,"ATL",3,1,33.3,12,0,62.6,59.5,64.7,30.8,NA,12,7,7,12,1,0,0,0,0,46.5,0,0,"2017",2017,"Falcons",1800000,2e+06,10,2010,"8"
"21","Andre Roberts",5612,"WR",16,"WAS",68,36,52.9,453,2,61.2,59,32.2,44.2,40.6,12.6,211,5.9,61,28,7,6,1,3,47,0,0,"2014",2014,"Redskins",2250000,5250000,200,2010,"5"
"22","Andre Roberts",5612,"WR",13,"ARZ",48,24,50,307,2,55.9,53.6,54.4,29.9,NA,12.8,136,5.7,74,10,3,1,1,1,75.6,0,0,"2010",2010,"Cardinals",501050,1044200,77,2010,"1"
"23","Andre Roberts",5612,"WR",16,"ARZ",91,51,56,586,2,58.9,56.6,51.4,40.2,NA,11.5,236,4.6,45,29,6,7,1,7,50.9,1,0,"2011",2011,"Cardinals",631050,450000,291,2010,"2"
"24","Andre Roberts",5612,"WR",13,"NYJ",18,10,55.6,79,1,58.1,56.1,41.1,36.3,NA,7.9,17,1.7,20,4,2,2,0,3,45.6,0,0,"2018",2018,"Jets",720000,1005000,71,2010,"9"
"25","Andre Roberts",5612,"WR",16,"ARZ",73,43,58.9,471,2,66.2,65.8,76,78.5,78.1,11,120,2.8,34,22,2,2,0,3,75.8,1,0,"2013",2013,"Cardinals",1504050,1323000,178,2010,"4"
"26","Anquan Boldin",1369,"WR",16,"BLT",103,64,62.1,837,7,72.7,73.4,78.4,47.4,70.5,13.1,238,3.7,61,43,3,4,1,3,94.2,4,1,"2010",2010,"Ravens",5406250,1e+07,426,2003,"8"
"27","Anquan Boldin",1369,"WR",14,"SF",107,69,64.5,789,4,72,70.5,74.4,48.1,NA,11.4,301,4.4,51,35,4,2,1,9,91.2,1,0,"2015",2015,"49ers",6909000,5937500,234,2003,"13"
"28","Anquan Boldin",1369,"WR",16,"SF",121,83,68.6,1062,5,79.3,79.2,55,84.7,NA,12.8,403,4.9,76,56,10,2,0,12,102.7,6,2,"2014",2014,"49ers",2364000,6e+06,361,2003,"12"
"29","Anquan Boldin",1369,"WR",14,"BLT",102,57,55.9,887,3,72.4,71.5,44.4,80.2,NA,15.6,252,4.4,56,44,7,2,0,2,86.5,1,0,"2011",2011,"Ravens",7531250,6e+06,329,2003,"9"
"30","Anquan Boldin",1369,"WR",15,"BLT",108,65,60.2,921,4,79.2,80.3,85.7,81.2,NA,14.2,276,4.2,43,45,2,3,0,11,88.5,9,0,"2012",2012,"Ravens",7531250,6e+06,312,2003,"10"
"31","Anquan Boldin",1369,"WR",16,"SF",123,85,69.1,1179,7,90.4,90.4,70.6,82.8,NA,13.9,439,5.2,63,62,6,0,0,13,118.6,6,0,"2013",2013,"49ers",6e+06,6e+06,316,2003,"11"
"32","Anquan Boldin",1369,"WR",16,"DET",88,67,76.1,584,8,66.3,66.9,68.5,81.2,74.4,8.7,226,3.4,35,41,5,2,0,7,114,6,0,"2016",2016,"Lions",2737500,3750000,242,2003,"14"
"33","Anthony Gonzalez",3648,"WR",5,"IND",2,0,0,0,0,43.9,44,28,NA,NA,NA,0,NA,0,0,1,0,0,0,39.6,0,0,"2011",NA,NA,NA,NA,13,2007,"5"
"34","Anthony Gonzalez",3648,"WR",2,"IND",8,5,62.5,67,0,63.8,62.6,73.4,68,NA,13.4,14,2.8,34,3,0,0,0,0,89.1,1,0,"2010",NA,NA,NA,NA,22,2007,"4"
"35","Antonio Brown",5718,"WR",15,"PIT",151,106,70.2,1284,12,88.8,89.5,90.8,86.9,NA,12.1,409,3.9,51,63,2,3,0,9,114.2,9,3,"2016",2016,"Steelers",11883333,10250000,362,2010,"7"
"36","Antonio Brown",5718,"WR",9,"PIT",19,16,84.2,167,0,85.8,83.9,81.7,73.3,NA,10.4,108,6.8,26,10,0,1,0,4,81.4,0,0,"2010",2010,"Steelers",344358,393075,9,2010,"1"
"37","Antonio Brown",5718,"WR",13,"PIT",98,66,67.3,787,5,79.6,80.7,73.1,27.8,NA,11.9,353,5.3,60,43,4,1,2,7,104.4,2,0,"2012",2012,"Steelers",2264359,9040000,193,2010,"3"
"38","Antonio Brown",5718,"WR",16,"PIT",178,129,72.5,1698,13,91.2,91.2,89.7,72.5,NA,13.2,615,4.8,63,86,5,3,1,17,119.5,5,1,"2014",2014,"Steelers",4517500,6e+06,386,2010,"5"
"39","Antonio Brown",5718,"WR",16,"PIT",190,136,71.6,1834,10,92.5,92.6,90.7,55,NA,13.5,624,4.6,59,84,5,9,1,23,99.8,4,1,"2015",2015,"Steelers",7120833,8e+06,338,2010,"6"
"40","Antonio Brown",5718,"WR",16,"PIT",159,110,69.2,1499,8,89.1,89.8,71,89.5,NA,13.6,658,6,56,69,8,3,0,16,107.9,4,1,"2013",2013,"Steelers",3120000,4500000,318,2010,"4"
"41","Antonio Brown",5718,"WR",1,"NE",8,4,50,56,1,90,86.9,72.1,68.3,NA,14,6,1.5,20,3,0,0,0,1,112.5,0,0,"2019",NA,NA,NA,NA,6,2010,"10"
"42","Antonio Brown",5718,"WR",15,"PIT",164,104,63.4,1297,15,79.3,79,91.3,84.1,NA,12.5,494,4.8,78,64,1,11,0,14,90.4,3,0,"2018",2018,"Steelers",7955000,13875000,282,2010,"9"
"43","Antonio Brown",5718,"WR",16,"PIT",120,69,57.5,1108,2,88.7,87.7,63.2,52.1,NA,16.1,350,5.1,79,57,6,3,1,3,83.6,3,0,"2011",2011,"Steelers",474358,450000,148,2010,"2"
"44","Antonio Brown",5718,"WR",14,"PIT",155,101,65.2,1533,9,91.2,91.3,77.4,27.8,NA,15.2,475,4.7,57,69,5,6,3,12,100.8,6,0,"2017",2017,"Steelers",13618334,19910000,315,2010,"8"
"45","Antwaan Randle El",1069,"WR",15,"PIT",37,22,59.5,253,0,60.1,59.5,60.7,75.9,NA,11.5,58,2.6,34,15,2,1,0,0,68.9,0,0,"2010",NA,NA,NA,NA,62,2002,"9"
"46","Armanti Edwards",5613,"WR",15,"CAR",9,5,55.6,121,0,55.3,53.9,49.7,69.5,NA,24.2,71,14.2,82,3,1,1,0,1,60.9,0,0,"2012",NA,NA,NA,NA,44,2010,"3"
"47","Armanti Edwards",5613,"WR",3,"CAR",2,0,0,0,0,52.3,43.8,28,63.6,NA,NA,0,NA,0,0,1,1,0,0,0,0,0,"2010",NA,NA,NA,NA,3,2010,"1"
"48","Armanti Edwards",5613,"WR",4,"CLV",5,1,20,10,0,57,58.9,64.7,72.4,NA,10,7,7,10,0,0,0,0,1,39.6,0,0,"2013",NA,NA,NA,NA,22,2010,"4"
"49","Arnaz Battle",1499,"WR",1,"PIT",1,0,0,0,0,55.2,56.4,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,39.6,0,0,"2011",NA,NA,NA,NA,NA,2003,"9"
"50","Arnaz Battle",1499,"WR",2,"PIT",2,0,0,0,0,54.6,55.4,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,39.6,0,0,"2010",NA,NA,NA,NA,NA,2003,"8"
"51","Arrelious Benn",5564,"WR",12,"JAX",10,5,50,116,1,64.4,61.9,29.2,71.8,NA,23.2,54,10.8,51,3,2,0,0,2,125.4,0,0,"2016",2016,"Jaguars",675000,675000,44,2010,"7"
"52","Arrelious Benn",5564,"WR",14,"TB",37,25,67.6,395,2,81,76,74.2,28,NA,15.8,159,6.4,64,17,1,0,1,3,120.9,1,0,"2010",NA,NA,NA,NA,170,2010,"1"
"53","Arrelious Benn",5564,"WR",7,"TB",6,4,66.7,26,0,57.8,58.6,46.3,70.9,NA,6.5,25,6.3,9,0,1,0,0,0,75.7,0,0,"2012",NA,NA,NA,NA,21,2010,"3"
"54","Arrelious Benn",5564,"WR",14,"TB",50,30,60,441,3,61.4,60.6,28.6,78.1,68.1,14.7,197,6.6,65,15,8,3,0,2,83.8,4,0,"2011",NA,NA,NA,NA,197,2010,"2"
"55","Arrelious Benn",5564,"WR",7,"JAX",2,1,50,12,0,54.7,53.6,28.8,61.2,NA,12,0,0,12,1,1,0,0,0,68.8,1,0,"2017",2017,"Jaguars",798294,758294,62,2010,"8"
"56","Austin Collie",5051,"WR",16,"IND",92,54,58.7,514,1,67.6,66.8,73.5,79.7,64.5,9.5,215,4,27,35,3,5,0,1,55.3,1,1,"2011",NA,NA,NA,NA,141,2009,"3"
"57","Austin Collie",5051,"WR",9,"IND",69,58,84.1,649,8,77.4,74.1,68.8,42.2,66.1,11.2,303,5.2,73,33,4,0,1,4,144.5,0,0,"2010",NA,NA,NA,NA,114,2009,"2"
"58","Austin Collie",5051,"WR",1,"IND",1,1,100,6,0,54.5,55,64.7,61.2,NA,6,3,3,6,0,0,0,0,0,91.7,0,0,"2012",NA,NA,NA,NA,1,2009,"4"
"59","Austin Collie",5051,"WR",7,"NE",10,6,60,63,0,66.5,64.4,74.6,68.8,NA,10.5,10,1.7,19,6,0,1,0,0,38.8,0,0,"2013",NA,NA,NA,NA,26,2009,"5"
"60","Ben Obomanu",3194,"WR",1,"NYJ",1,1,100,8,0,48,52.7,64.7,61.2,NA,8,2,2,8,0,0,0,0,0,100,1,1,"2013",NA,NA,NA,NA,13,2006,"8"
"61","Ben Obomanu",3194,"WR",14,"SEA",48,31,64.6,494,4,73.8,72.3,79.4,77.6,NA,15.9,179,5.8,87,17,0,4,0,4,91.8,0,0,"2010",NA,NA,NA,NA,167,2006,"5"
"62","Ben Obomanu",3194,"WR",8,"SEA",8,4,50,58,0,59.5,53.4,72.1,68.3,NA,14.5,22,5.5,36,1,0,0,0,0,74,1,0,"2012",NA,NA,NA,NA,78,2006,"7"
"63","Ben Obomanu",3194,"WR",16,"SEA",56,37,66.1,436,2,59.1,58.2,29.4,77.8,70.4,11.8,136,3.7,55,16,8,2,0,4,86.6,2,0,"2011",NA,NA,NA,NA,177,2006,"6"
"64","Bernard Berrian",1799,"WR",14,"MIN",53,28,52.8,252,0,54.4,53.3,65.8,76.4,NA,9,84,3,30,14,3,4,0,1,34.5,2,0,"2010",NA,NA,NA,NA,202,2004,"7"
"65","Bernard Berrian",1799,"WR",5,"MIN",20,7,35,91,0,55.9,54,54.5,70.1,NA,13,4,0.6,30,3,1,0,0,1,50.2,0,0,"2011",NA,NA,NA,NA,72,2004,"8"
"66","Brandon Gibson",5118,"WR",14,"MIA",47,29,61.7,295,1,56.6,56.2,49.8,20.8,NA,10.2,100,3.4,40,15,4,1,2,2,77.9,4,4,"2014",2014,"Dolphins",3735000,2735000,171,2009,"6"
"67","Brandon Gibson",5118,"WR",14,"SL",86,53,61.6,620,2,66.8,66.6,46.9,80.2,67.4,11.7,222,4.2,41,33,6,2,0,10,81.5,3,0,"2010",2010,"Rams",395000,395000,307,2009,"2"
"68","Brandon Gibson",5118,"WR",7,"MIA",43,30,69.8,326,3,79.2,76.8,58.1,76.5,NA,10.9,123,4.1,46,19,3,2,0,3,95.7,0,0,"2013",2013,"Dolphins",1785000,3785000,51,2009,"5"
"69","Brandon Gibson",5118,"WR",16,"SL",75,51,68,691,5,76.9,77.4,60.2,79.7,NA,13.5,111,2.2,34,43,5,2,0,2,108.3,5,2,"2012",2012,"Rams",1e+06,1e+06,263,2009,"4"
"70","Brandon Gibson",5118,"WR",15,"SL",65,36,55.4,431,1,66,62.7,29.2,77.9,66.8,12,116,3.2,34,28,8,0,0,4,81,2,0,"2011",2011,"Rams",480000,480000,196,2009,"3"
"71","Brandon LaFell",5602,"WR",16,"CIN",86,52,60.5,548,3,57.8,57.7,59,37.4,NA,10.5,245,4.7,45,25,4,2,1,3,81,1,0,"2017",2017,"Bengals",5e+06,5e+06,306,2010,"8"
"72","Brandon LaFell",5602,"WR",11,"NE",69,37,53.6,515,0,58,56.3,28.1,78.2,NA,13.9,238,6.4,54,22,10,2,0,3,65.8,0,0,"2015",2015,"Patriots",3500000,2075000,223,2010,"6"
"73","Brandon LaFell",5602,"WR",16,"CIN",101,64,63.4,862,6,69.5,69.1,84.5,80.8,NA,13.5,347,5.4,86,42,2,1,0,4,106.1,3,0,"2016",2016,"Bengals",2500000,2800000,370,2010,"7"
"74","Brandon LaFell",5602,"WR",16,"CAR",56,36,64.3,613,3,68.1,68.2,71.7,77.4,39.9,17,214,5.9,91,23,2,2,0,3,104.2,1,0,"2011",2011,"Panthers",654600,450000,223,2010,"2"
"75","Brandon LaFell",5602,"WR",6,"OAK",16,12,75,135,2,64.5,65.2,79.4,72.5,65.8,11.3,54,4.5,24,9,0,0,0,1,139.3,0,0,"2018",2018,"Raiders",2312500,1750000,98,2010,"9"
"76","Brandon LaFell",5602,"WR",16,"NE",114,74,64.9,953,7,75.3,74.8,76.9,52.8,61.6,12.9,361,4.9,56,50,5,2,1,12,104.2,6,0,"2014",2014,"Patriots",2e+06,4300000,339,2010,"5"
"77","Brandon LaFell",5602,"WR",14,"CAR",69,44,63.8,677,4,70,67.2,61.2,79.2,62.3,15.4,315,7.2,62,31,3,4,0,3,91.3,2,0,"2012",2012,"Panthers",744600,540000,283,2010,"3"
"78","Brandon LaFell",5602,"WR",16,"CAR",83,49,59,627,5,65.1,63.2,41.5,80,NA,12.8,262,5.3,79,32,8,4,1,4,82.8,3,0,"2013",2013,"Panthers",1554600,1350000,351,2010,"4"
"79","Brandon LaFell",5602,"WR",14,"CAR",71,38,53.5,468,1,64.6,62.8,33.1,43.4,NA,12.3,142,3.7,44,23,7,1,1,2,73,3,0,"2010",2010,"Panthers",524600,1138400,158,2010,"1"
"80","Brandon Lloyd",1436,"WR",16,"NE",128,74,57.8,911,5,77,74.2,60.8,81.8,NA,12.3,179,2.4,53,50,7,1,0,3,89.7,1,0,"2012",NA,NA,NA,NA,409,2003,"10"
