,player,player_id,position,ï..season,Team,Cap.Number,Cash.Spent,snap_counts_offense,Year,experience,y1_pff,y1_touchdowns,y1_receptions,y1_yac,y1_salary,y1_snaps,y2_pff,y2_touchdowns,y2_receptions,y2_yac,y2_salary,y2_snaps,y3_pff,y3_touchdowns,y3_receptions,y3_yac,y3_salary,y3_snaps,y4_pff,y4_touchdowns,y4_receptions,y4_yac,y4_salary,y4_snaps,y5_pff,y5_touchdowns,y5_receptions,y5_yac,y5_salary,y5_snaps
1095,Odell Beckham Jr.,8647,WR,2014,Giants,1892036,6308144,266,2014,1,90.8,12,91,481,6308144,266,88.1,13,96,591,893009,352,87,10,101,532,1366018,366,69.1,3,25,71,1839027,59,90,6,77,318,21459000,224
1087,Mike Evans,8642,WR,2014,Buccaneers,2660273,9381092,223,2014,1,84.6,12,68,170,9381092,223,83.5,3,74,239,1085068,304,91.7,12,96,188,1750137,318,79.3,5,71,108,2374617,253,84.3,8,86,294,18258000,260
498,Mike Williams,5625,WR,2010,Seahawks,1670000,2045000,363,2010,1,74.7,11,64,336,2045000,363,62.5,3,65,236,450000,292,78.8,9,63,343,540000,302,62.2,2,22,63,8200000,123,55.2,1,8,36,NA,60
508,Mike Williams,5625,WR,2010,Buccaneers,454562,858250,363,2010,1,74.7,11,64,336,858250,363,62.5,3,65,236,450000,292,78.8,9,63,343,540000,302,62.2,2,22,63,8200000,123,55.2,1,8,36,NA,60
1348,Calvin Ridley,48262,WR,2018,Falcons,1981951,6487804,145,2018,1,68.8,10,64,367,6487804,145,74.9,7,63,141,975488,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1068,Kelvin Benjamin,8663,WR,2014,Panthers,1393500,4314000,353,2014,1,73.5,9,73,177,4314000,353,NA,NA,NA,NA,NA,NA,76.5,7,63,235,1116750,293,71.2,3,48,145,529412,217,57.8,1,25,55,352941,184
1244,Michael Thomas,10681,WR,2016,Saints,930722,2372888,281,2016,1,86.4,9,92,478,2372888,281,90.6,5,104,449,682681,307,91.3,9,125,503,915362,367,90.4,9,149,588,21648043,302,NA,NA,NA,NA,NA,NA
939,Keenan Allen,7857,WR,2013,Chargers,558450,1018800,397,2013,1,83.7,8,71,427,1018800,397,76.1,4,77,311,505000,309,79.2,4,67,249,600000,178,88.3,0,6,23,15171000,9,89.3,6,102,523,6750000,312
1261,Sterling Shepard,10674,WR,2016,Giants,1080831,2973324,358,2016,1,66.4,8,65,261,2973324,358,70.7,2,59,303,720208,216,67.3,4,66,316,990416,305,75.8,3,57,184,10760624,181,NA,NA,NA,NA,NA,NA
1388,A.J. Brown,48327,WR,2019,Titans,1027703,2625812,260,2019,1,84,8,52,462,2625812,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1058,Jordan Matthews,8677,WR,2014,Eagles,899867,2339468,252,2014,1,72.2,8,67,399,2339468,252,65.6,8,85,436,644967,313,67.7,3,73,237,869934,323,52.7,1,25,132,1094901,182,65.4,2,20,78,697059,118
711,Julio Jones,6158,WR,2011,Falcons,2942500,10645000,215,2011,1,70.8,8,54,421,10645000,215,82.5,10,79,491,1110625,227,80.8,2,41,261,1846250,72,89.8,6,104,553,2581875,251,92.5,8,136,665,22000000,310
1394,Darius Slayton,25578,WR,2019,Giants,553721,729884,198,2019,1,70.3,8,48,199,729884,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1077,Martavis Bryant,8753,WR,2014,Steelers,529805,859220,83,2014,1,74.8,8,26,192,859220,83,69.5,6,50,350,390000,104,NA,NA,NA,NA,NA,NA,68,3,50,179,615000,196,63.7,0,19,132,1458295,64
647,A.J. Green,6156,WR,2011,Bengals,3579655,13193620,352,2011,1,72.8,7,65,284,13193620,352,89.2,11,97,437,1269913,344,82.5,11,98,399,2164826,409,84.3,6,69,312,3059739,267,90.5,10,86,337,26750000,352
1393,D.K. Metcalf,47864,WR,2019,Seahawks,833827,1850308,345,2019,1,69.7,7,58,280,1850308,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
762,Torrey Smith,6210,WR,2011,Ravens,616224,1339896,328,2011,1,68.6,7,50,242,1339896,328,74.6,8,49,244,529056,352,70.5,4,65,381,683112,391,72.1,11,49,170,837168,284,62.8,4,33,226,10000000,236
1411,Terry McLaurin,48229,WR,2019,Redskins,745805,1498220,280,2019,1,85.7,7,58,222,1498220,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1316,JuJu Smith-Schuster,11817,WR,2017,Steelers,735516,1629123,249,2017,1,76.5,7,58,394,1629123,249,81.8,7,111,660,655717,230,63.1,3,42,241,846434,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1403,Marquise Brown,61568,WR,2019,Ravens,2143153,7087612,223,2019,1,70.8,7,46,234,7087612,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1343,Anthony Miller,48160,WR,2018,Bears,973400,2453600,187,2018,1,60.4,7,33,173,2453600,187,66,2,52,225,723350,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
880,T.Y. Hilton,7092,WR,2012,Colts,521850,917400,161,2012,1,66.4,7,50,386,917400,161,77.9,5,82,391,485000,189,84.2,7,82,364,575000,225,78.9,5,69,386,11000000,267,86.7,6,91,328,9000000,285
1103,Sammy Watkins,8639,WR,2014,Bills,3624655,13238620,375,2014,1,69.3,6,65,341,13238620,375,89.8,9,60,180,1326164,295,73.7,2,28,48,2232328,146,71.5,8,39,188,690000,298,73.5,3,40,235,21800000,147
1110,Amari Cooper,9437,WR,2015,Raiders,4120567,15177268,289,2015,1,71.2,6,72,383,15177268,289,79,5,83,448,1465142,352,63.6,7,48,300,2495284,235,77.9,7,75,415,411765,249,84.1,8,79,232,13924000,295
1195,Tyler Lockett,9502,WR,2015,Seahawks,631688,1221752,216,2015,1,76,6,51,259,1221752,216,68.9,1,41,223,580000,132,67.3,2,45,188,695000,164,80.3,10,57,220,11000000,402,77.2,8,82,299,5407000,375
756,Titus Young,6196,WR,2011,Lions,829331,2192324,186,2011,1,62.7,6,48,142,2192324,186,58.6,4,33,83,465000,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1404,Mecole Hardman,42683,WR,2019,Chiefs,908191,2147764,135,2019,1,69.1,6,26,298,2147764,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1278,Tyreek Hill,10799,WR,2016,Chiefs,497500,550000,119,2016,1,80.4,6,61,278,550000,119,81.4,7,75,447,568760,230,89.6,12,87,524,687496,262,85.4,7,58,282,6529500,172,NA,NA,NA,NA,NA,NA
216,Dez Bryant,5549,WR,2010,Cowboys,1280000,2840000,80,2010,1,73,6,45,206,2840000,80,80.4,9,63,311,2112500,226,76.5,12,92,468,3020500,237,82.5,13,93,526,1807500,288,90.6,16,88,373,2030000,381
1290,Cooper Kupp,11824,WR,2017,Rams,703690,1419760,293,2017,1,78.3,5,62,367,1419760,293,77.4,6,40,304,640046,171,74.6,10,94,548,811118,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
826,Justin Blackmon,7011,WR,2012,Jaguars,3365818,7500000,278,2012,1,65.7,5,64,290,7500000,278,71.9,1,29,215,1989754,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
671,Denarius Moore,6300,WR,2011,Raiders,422513,565052,246,2011,1,76.7,5,33,133,565052,246,68.6,7,51,265,465000,272,73.7,5,46,256,555000,201,51.7,0,12,41,1431000,64,NA,NA,NA,NA,NA,NA
